אביסל|אַ ביסל|קצת
זעצט|זעצט|מושיב; מתיישב (זעצט זיך)
זעצן|זעצן|לשבת, להושיב
זעצןזיך|זעצן זיך|להתיישב
זעקן|זעקן|לבכות, ייסורים
זעקס|זעקס|שש
זער|זעהר|מאוד
זשאלעוון|זשאַלעווען|לחסוך
זשארגאן|זשארגאן|ז'רגון (כינוי לאידיש)
זשורנאל|זשורנאל|כתב־עת, עיתון
חאטש|חאטש|אף על פי, למרות ש־
חאפט|חאַפּט|לִתפוס
חאפן|חאַפּן|לתפוס, לחטוף
חאראקטער|חאראקטער|אופי
חבדחסידישער|חבדחסידישער|של חסידות חב"ד
חבדניקעס|חבדניקעס|חסידי חב"ד
חבר|חבֿר|חבר
חברה|חברה|חברה, קבוצה
חברטע|חבֿרטע|חברותא
חברים|חבֿרים|חברים
חדר|חדר|חדר (בית ספר יהודי מסורתי)
חוזקמאכן|חוזק מאַכן|ללגלג
חומריותדיק|חומריותדיק|חומרי
חוצפהדיק|חוצפּהדיק|חצוף
חוצפע|חוצפּע|חוצפה, עזות
חזר|חזר|חזיר
חזרן|חזרן|לחזור על הלימוד
חיות|חיות|חיות, עירנות, חיוניות
חכמהלאך|חכמהלאך|התחכמויות, חכמות קטנות
חכמהלעך|חכמהלעך|התחכמויות
חלום|חלום|חלום
חלומן|חלומען|לחלום
חלק|חלק|חלק, גורל
חלשן|חלשן|לעלף, להתעלף
חנוכה|חנוכה|חנוכה
חנוכהליכט|חנוכה־ליכט|נרות חנוכה
חנופה|חנופה|חנופה, להג
חנעוודיק|חנעוודיק|חינני
חסידותלערנן|חסידות לערנען|ללמוד חסידות
חסידותער|חסידותער|חסידי, של חסידות
חסידיםשטיבל|חסידים־שטיבל|בית כנסת חסידי
חסידישן|חסידישן|חסידי (בנטייה)
חסידישע|חסידישע|חסידית
חסידשן|חסידשן|חסידי (בהטיה)
חסידשער|חסידשער|חסידי
חסרון|חסרון|חסרון, מחסור
חפ|חפּ|חפץ, חפוז
חרטה|חרטה|חרטה, חרטה
חרטההאבן|חרטה האָבן|להתחרט
חשובסטע|חשובסטע|חשוב - ביותר
חשובער|חשובער|נכבד
חשך|חשך|חושך
חתונה|חתונה|חתונה, שמחת נישואין
חתונההאבן|חתונה האָבן|להתחתן
חתן|חתן|חתן
טאג|טאָג|יום
טאגטעגליכן|טאגטעגליכן|יומיומי (בהטיה)
טאהלן|טאָהלען|עמקים
טאהן|טאהן|לעשות (=טאן)
טאומטרייהייט|טאומטרייהייט|בגידה
טאטין|טאטין|אבא (בנטיה, =טאַטן)
טאטן|טאַטן|מעשים
טאטנס|טאטנס|של אבא
טאטע|טאַטע|אבא
טאטעמאמע|טאַטע־מאַמע|הורים
טאטעס|טאטעס|של אבא; אבות
טאייגענשאפט|טאייגענשאַפט|יכולת, כשרון חוש
טאכטער|טאָכטער|בת
טאל|טאָל|עמק
טאלנט|טאַלנט|כשרון
טאלנער|טאַלנער|שם של חסידות) של טולנא
טאלענטירט|טאַלענטירט|מוכשר
טאלק|טאָלק|תכלית, סיכום
טאמער|טאָמער|שמא, האם
טאמערסט|טאָמערסט|אתה אולי
טאן|טאָן|לעשות
טאנדעטנער|טאנדעטנער|זול, ירוד
טאנץ|טאַנץ|רוקד (אני)
טאנץט|טאַנץט|רוקד (הוא)
טאנץסט|טאַנץסט|רוקד (אתה)
טאנצט|טאַנצט|רוקד
טאנצן|טאַנצן|לרקוד
טאפ|טאָפּ|סיר
טאקע|טאַקע|ממש, בדיוק
טאקעווע|טאַקעווע|ממש כן
טאקעיא|טאַקע יאָ|באמת כן
טאר|טאָר|אסור ל־ (אינו רשאי)
טארבע|טארבע|תרמיל, שק
טארן|טארן|אסור (מען טאר ניט)
טארןניט|טאָרן ניט|אסור ל-
טהאט|טהאַט|מעשה, פעולה
טהאטן|טהאַטען|מעשים, פעולות
טו|טו|עשה!
טוגנט|טוגנט|סגולה, מעלה
טוגנטהאפט|טוגנטהאַפֿט|סגולתי
טוגנטהאפטיקייט|טוגנטהאַפֿטיקייט|מעלה
טוגנטזאם|טוגנטזאַם|בעל מעלות
טוהט|טוהט|עושה (טוט)
טוט|טוּט|עושה
טוטוויי|טוט וויי|כואב
טוי|טוי|טל
טויב|טויב|יונה
טויבן|טויבן|יונים
טויזנד|טויזנד|אלף (1000)
טויזנט|טויזנט|אלף
טויזנטער|טויזנטער|אלפים
טויזענט|טויזענט|אלף (1000)
טויזענטער|טויזענטער|אלפי, אלפים, אלפים
טויזענטר|טויזענטר|אלפים, אלפי
טויט|טויט|מת, מוות, מוות, מת
טויטער|טויטער|מת
טויטעשטילקייט|טויטע שטילקייט|שקט מוות, דממת מוות
טויסגעשפראכענע|טויסגעשפּראָכענע|מפורש
טויער|טויער|שער
טויערן|טויערן|דלתות
טויק|טויג|שוה
טוך|טוך|בד, מטפחת
טומל|טומל|המולה, רעש
טומעל|טומעל|רעש, המולה
טומעלדיקן|טוּמעלדיקען|סוחפניים, רועשים
טון|טוּן|לעשות
טון|טוען|עושים
טונקל|טונקל|כהה, חשוך
טונקלן|טונקלן|כהה (מוטה)
טונקלע|טונקלע|כהה (נקבה/רבים)
טונקלער|טונקלער|כהה (זכר)
טוסט|טוסט|עושה (אתה)
טורמע|טורמע|בית סוהר
טיהערן|טיהערן|לרמות, לפתות
טיטול|טיטול|תואר
טיטולירט|טיטולירט|בעלי-התואר
טיי|טיי|תה
טייטער|טייטער|סולם
טייטש|טייטש|תרגום, פירוש
טייטשט|טייטשט|מפרש, מתרגם
טייטשן|טייטשן|לתרגם, לפרש
טייך|טייך|נהר
טייכן|טייכן|נהרות
טייכעל|טייכעל|נַחַל
טייל|טייל|חלק
טיילונג|טיילונג|חלוקה
טיילט|טיילט|מחלק
טיילטאפ|טיילט-אָפּ|מחלקים (עושים הבדל)
טיילן|טיילן|לחלק
טייער|טייער|יקר
טייערן|טייערן|יקר (מוטה)
טייערע|טייערע|יקר (נקבה/רבים)
טייערער|טייערער|יקר (זכר)
טייערקייט|טייערקייט|יקרוּת, חביבות
טייף|טייף|עמוק
טייפזיניק|טייפֿזיניק|עמוק, מעמיק
טיכטיק|טיכטיק|שקידה
טינט|טינט|דיו
טיף|טיף|עמוק
טיףן|טיףן|עמוק (מוטה)
טיףע|טיףע|עמוק (נקבה/רבים)
טיףער|טיףער|עמוק (זכר)
טיפ|טיפּ|טיפוס
טיפן|טיפֿן|לעמיק
טיפן|טיפּען|סוגים, טיפוסים
טיפסטע|טיפסטע|העמוק ביותר
טיפע|טיפע|עמוקים
טיפעווערטער|טיפע ווערטער|מילים עמוקות
טיפעניש|טיפעניש|עומק, מעמקים
טיפער|טיפער|עמוק (לפעמים: עמוק-יותר)
טיפערער|טיפערער|עמוק יותר
טיפקייט|טיפֿקייט|עומק
טיר|טיר|דלת
טירן|טירען|דלתות
טיש|טיש|שולחן
טישטעך|טישטעך|מפת שולחן
טישן|טישען|שולחנות
טעאטער|טעאַטער|תיאטרון
טעג|טעג|ימים
טעגליכן|טעגליכן|יומי, יומיומי
טעותהאבן|טעות האָבן|לטעות
טעותים|טעותים|טעויות
טעטיקייט|טעטיקייט|עשייה, פעילות
טעטיקער|טעטיקער|עשייה, פעולות
טעכטער|טעכטער|בנות
טעכניק|טעכניק|טכניקה
טעלעגראם|טעלעגראם|מברק
טעלעגראמע|טעלעגראַמע|מברק
טעלעפאן|טעלעפאָן|טלפון
טעלער|טעלער|צלחת
טעמפ|טעמפּ|קצב, טמפו
טענהן|טענהן|לטעון
טעענט|טעהענט|טוענים
טעריטאריע|טעריטאָריע|טריטוריה
טראג|טראָג|נשא!
טראגט|טראָגט|נושא
טראגטאריין|טראָגט-אריין|מכניס
טראגן|טראָגן|נושאים
טראגסט|טראָגסט|נושא (אתה)
טראדיציע|טראַדיציע|מסורת
טראט|טראט|צעד, פסיעה
טראכט|טראַכט|חושב
טראכטן|טראַכטן|לבדוק
טראכטסט|טראַכטסט|חושב (אתה)
טראכטענדיק|טראכטענדיק|תוך כדי מחשבה
טראן|טראָן|כס המלוכה
טראפן|טראפן|טיפה
טרו|טרו|נאמן
טרויבן|טרויבן|ענבים
טרויער|טרויער|עַצְבות, עֶצֶב
טרויעריגע|טרויעריגע|עצובים, עגומים
טרויעריק|טרויעריק|בעצבות
טרויעריקייט|טרויעריקייט|עצב
טרויעריקן|טרויעריקן|עצוב (מוטה)
טרויעריקע|טרויעריקע|עצוב (נקבה/רבים)
טרויעריקער|טרויעריקער|עצוב (זכר)
טרומייט|טרומייט|חצוצרה
טרוקן|טרוקן|יבש
טרוקןן|טרוקןן|יבש (מוטה)
טרוקןע|טרוקןע|יבש (נקבה/רבים)
טרוקןער|טרוקןער|יבש (זכר)
טרוקנקייט|טרוקנקייט|יובש
טרוקענן|טרוקענען|לייבש
טרוקענעןזיך|טרוקענען זיך|להתנגב
טרוקענער|טרוקענער|יבש
טריט|טריט|קשה
טרייאין|טרייאין|להיות נאמן
טרייב|טרייב|דחוף!
טרייבט|טרייבט|דוחף
טרייבן|טרייבן|לנהוג, לדחוף
טרייבקראפט|טרייבּ קראפט|כח מניע
טרייסטונג|טרייסטונג|נחמה
טרייסטלעך|טרייסטלעך|מנחם
טרייסטן|טרייסטן|לנחם
טרייסטער|טרייסטער|מנחם
טרייסלן|טרייסלן|לנער, לטלטל
טרייסעלט|טרייסעלט|רטט, רעדה
טרייע|טרייע|נאמנים
טרייער|טרייער|נאמן
טרייקייט|טרייקייט|נאמנות
טרינק|טרינק|שתה!
טרינקט|טרינקט|שותה
טרינקן|טרינקען|לשתות
טרינקסט|טרינקסט|שותה (אתה)
טרעט|טרעט|צועד, פוסע (טרעטן — לדרוך)
טרעטן|טרעטען|לדרוך
טרעף|טרעף|פגוש!
טרעףט|טרעףט|פוגש, קולע (הוא)
טרעףסט|טרעףסט|פוגש, קולע (אתה)
טרעפ|טרעפּ|שלבים, מדריגות
טרעפט|טרעפט|פוגש, קורה, פּוגשים
טרעפט|טרעפֿט|פוגש
טרעפלעך|טרעפלעך|בדיוק, באופן מדויק
טרעפן|טרעפן|קורה
טרעפן|טרעפֿן|לפגוש, לפגוע
טרעפןזיך|טרעפן זיך|להיפגש
טרעפענדיגזיך|טרעפענדיג זיך|בהִפָגשי
טרער|טרער|דמעה
טרערן|טרערען|דמעות
טשוואק|טשוואָק|מסמר
טשיקאווע|טשיקאַווע|מעניין
טשיקאווקייט|טשיקאַווקייט|עניין
טשעפן|טשעפען|להציק, להיטפל ל־
יא|יאָ|כן
יאגד|יאָגד|ציד
יאגט|יאָגט|רודף
יאגן|יאָגן|לרדוף, לצוד
יאגןזיך|יאָגן זיך|לרדוף, למהר
יאהר|יאָהר|שנה
יאהרין|יאהרין|שנים (=יאהרן)
יאהרן|יאָהרן|שנים
יאך|יאָך|עול
יאמער|יאָמער|יללה, זעקה
יאמעריק|יאַמעריק|עצוב, מר
יאמערליכע|יאָמערליכע|יְלַלתי, זַעקתי
יאמערן|יאַמערן|להתאונן, לבכות
יאקל|יאָקל|יעקב (שם חיבה)
יאר|יאָר|שנה
יארהונדערט|יאָרהונדערט|מאה שנים
יאריקן|יאָריקן|שנים
יארמאלקעס|יאַרמאָלקעס|כיפות
יארמארק|יאָרמאַרק|יריד
יארמולקע|יאַרמולקע|כיפה
יארן|יאָרן|שנים
יארצייט|יאָרצייט|יום פטירה
יוגנט|יוגנט|נעורים
יוגנטלעך|יוגנטלעך|נעורי
יוגענד|יוגענד|נעורים, נוער
יוד|יוד|יהודי; האות יו"ד
יודן|יודן|יהודים
יויך|יויך|מרק עוף
יונג|יונג|צעיר
יונגל|יונגל|ילד צעיר
יונגמאן|יונגמאַן|בחור צעיר
יונגן|יונגן|צעיר
יונגסטע|יונגסטע|הצעיר ביותר
יונגע|יונגע|צעירים
יונגעלייט|יונגעלייט|צעירים, אברכים
יונגער|יונגער|צעיר
יונגערהייט|יונגערהייט|בצעירותו
יונגערמאן|יונגערמאַן|אברך
יונגערמאנטשיק|יונגערמאָנטשיק|בַּחוּרוֹן
יונגקייט|יונגקייט|צעירות
יוניפארם|יוניפאָרם|מדים
יוצא|יוצא|יוצא, יוצא מן הכלל
יושר|יושר|יושר, הגינות
יחוד|יחוד|ייחוד
יחוסבריוו|יחוס־בריוו|כתב יחוס
יחיד|יחיד|יחיד, לבד
יחידות|יחידות|ייחוד, פרט
יטוועדער|יטוועדער|כל אחד, כל
יידיש|יידיש|יהודי
יידישקייט|יידישקייט|יהדות
יידן|יידן|יהודים
יינגל|יינגל|ילד, נער
ייסורים|ייסורים|יסורים
ייצר|ייצר|יצר
ייצרהרע|ייצר הרע|יצר הרע
ייצרטוב|ייצר טוב|יצר טוב
ייש|ייִש|יש, קיים
יישובהדעת|יישוב הדעת|יישוב הדעת, שקט
יישן|ייִשן|לישון
יישרכוח|יישר כוח|יישר כוח, כל הכבוד
יסודותדיק|יסודותדיג|יסודי, מבוסס
יעדן|יעדן|כל
יעדןטאג|יעדן טאָג|כל יום
יעדןמאל|יעדן מאָל|כל פעם
יעדע|יעדע|כל (נקבה)
יעדעס|יעדעס|כל-אחד
יעדער|יעדער|כל-אחד, כל
יעדערן|יעדערן|לכל אחד, את כל אחד
יעדערער|יעדערער|כל אחד
יעטווידער|יעטווידער|כל אחד, כל
יעמאלט|יעמאָלט|אז
יעמאלטיגין|יעמאָלטיגיען|של-אז
יעמולט|יעמולט|אז, באותה שעה (=יעמאלט)
יעניקער|יעניקער|ההוא
יענע|יענע|ההוא, ההיא
יענעוועלט|יענע וועלט|העולם הבא
יענעזייט|יענע זייט|הצד השני
יענעם|יענעם|לו, לה
יענעםטאג|יענעם טאָג|באותו יום
יענעמס|יענעמס|ההוא
יענעצייט|יענע צייט|אותו זמן
יענער|יענער|ההוא
יענץ|יענץ|ההוא (סתמי)
יעצט|יעצט|עכשיו, כעת
יקרקייט|יקרקייט|יקרות
ישובניק|ישובניק|יהודי כפרי, יהודי המתגורר ביישוב קטן
ישרות|ישרות|יושר
כאטש|כאטש|אף על פי ש־; לפחות
כאפ|כאַפּ|תופס (אני)
כאפט|כאַפּט|תופס (הוא)
כאפן|כאַפּן|לתפוס, לחטוף
כאפסט|כאַפּסט|תופס (אתה)
כאראקטעריזירט|כאַראַקטעריזירט|אִפיין
כדי|כּדי|כדי, על מנת
כוונההאבן|כוונה האָבן|להתכוון
כוחיים|כוחיים|כוחניים
כוליע|כּוליע|כוליה, כליה
כינוי|כּינוי|כינוי
כיס|כּיס|כיס
כיסן|כּיסן|כיסים
כישוף|כּישוף|כישוף, קסם
כישופים|כּישופים|כישופים
כישרון|כּישרון|כישרון
כלומרשט|כּלומרשט|כביכול, כלומר
כלזמן|כּל זמן|כל זמן, כל עוד
כלי|כּלי|כלי
כלים|כּלים|כלים
כלליותדיק|כלליותדיג|כללי
כללניט|כּלל ניט|בכלל לא
כמעט|כּמעט|כמעט
כסדר|כּסדר|ברצף, כסדר
כף|כּף|כף יד
כרסל|כּרסל|כורסא, כיסא נוח
לאג|לאַג|שקר!
לאגט|לאַגט|שוקר
לאגן|לאַגן|לשקר
לאגנהאפט|לאַגנהאַפֿט|שקרי
לאגנהאפטיקייט|לאַגנהאַפֿטיקייט|שקרנות
לאגע|לאַגע|מצב
לאז|לאָז|אפשר, תן
לאזט|לאָזט|מניח
לאזן|לאָזן|לאפשר, לתת
לאזן|לאַזען|לאפשר (להניח)
לאיבן|לאיבן|לשבח
לאך|לאַך|צחק!
לאךט|לאַךט|צוחק (הוא)
לאךסט|לאַךסט|צוחק (אתה)
לאכט|לאַכט|צוחק
לאכן|לאַכן|לצחוק
לאם|לאַם|טלה
לאמיר|לאמיר|הבה, בואו
לאמפ|לאָמפּ|מנורה
לאנג|לאַנג|ארוך
לאנגווייל|לאַנגווייל|שעמום
לאנגווייליק|לאַנגווייליק|משעמם
לאנגזאם|לאַנגזאַם|לאט
לאנגזאמקייט|לאַנגזאַמקייט|אטיות
לאנגט|לאָנגט|נותן
לאנגלעבן|לאַנג לעבן|אריכות ימים
לאנגן|לאָנגן|לתת
לאנגע|לאַנגע|ארוכים
לאנגע|לאֲנגע|ארוך
לאנגער|לאַנגער|ארוך
לאנגקייט|לאַנגקייט|אורך
לאנד|לאַנד|ארץ
לאנדווירטשאפט|לאַנדווירטשאַפט|חקלאות
לאנדסלויט|לאַנדסלויט|בני ארץ
לאסטהאפט|לאַסטהאַפֿט|מכביד
לאסטן|לאַסטן|נטל
לאקשן|לאָקשן|אטריות
לויב|לויב|שבח!
לויב|לויבּ|שבח
לויבגעזאנגן|לויבּ געזאַנגען|שירי שבח, תהילות
לויבט|לויבט|משבח
לויבן|לויבן|לשבח
לויטעט|לויטעט|לפי
לויכטן|לויכטן|להאיר, לזהור
לוין|לוין|שכר, גמול
לויף|לויף|רוץ!
לויףט|לויףט|רץ (הוא)
לויףסט|לויףסט|רץ (אתה)
לויפט|לויפט|רץ
לויפן|לויפען|לרוץ
לויפענדיק|לויפענדיק|תוך כדי ריצה
לומדישע|לומדישע|למדני
לוסטיק|לוסטיק|עליז, שמח
לוסטיקייט|לוסטיקייט|עליזות
לוסטיקער|לוסטיקער|עליז, שמח
לופט|לוּפט|אַויר
לחלוחית|לחלוחית|לחות, רטיבות
ליאזנא|ליאזנא|ליאזנה (עיירה ברוסיה הלבנה)
ליארעם|ליאַרעם|רעש, מהומה
ליארעמט|ליאַרעמט|רועש
ליב|ליב|אהוב
ליבגעאט|ליב געהאַט|אהב
ליבהאבן|ליב האָבן|לאהוב
ליבט|ליבט|אוהב
ליבליך|ליבּליך|אהוב
ליבן|ליבן|לאהוב
ליבע|ליבע|אהבה
ליבער|ליבּער|אהוב, יקר
ליבקייט|ליבקייט|חמדה
ליבשאפט|ליבשאַפט|אהבה, חיבה
ליגט|ליגט|שוכב (הוא)
ליגטאויף|ליגט אויף|מוטל על, שוכב על
ליגן|ליגן|שקר, לשכב
ליגן(בעט)|ליגן (בעט)|לשכב
ליגנדיק|ליגנדיק|בשכבו
ליגנער|ליגנער|שקרן
ליגסט|ליגסט|שוכב (אתה)
ליגענדיק|ליגענדיג|בְּשָכבי
ליד|ליד|שיר
לידער|לידער|שירים
ליובאוויטשער|ליובאוויטשער|מליובאוויטש, חסיד חב"ד
ליטוואקס|ליטוואַקס|לטאים
ליטווישן|ליטווישן|ליטאי
ליטווישע|ליטווישע|ליטאיים
לייאן|לייאן|קרא!
לייב|לייב|אריה
לייבליכע|לייבּליכע|גופניים, פיזיים
לייגט|לייגט|מניח
לייגן|לייגן|להניח, לשים
לייגן|לייגען|להניח עצמך, לשים, להטיל, להשכיב
לייגןזיך|לייגן זיך|לשכב
לייגנדיק|לייגנדיק|מניח
לייגסט|לייגסט|מניח (אתה)
ליידיגע|ליידיגע|ריקים; בטלים
ליידיק|ליידיק|ריק, פנוי
ליידיקם|ליידיקם|ידיים ריקות
ליידיקן|ליידיקן|ריק (מוטה)
ליידיקע|ליידיקע|ריק (נקבה/רבים)
ליידיקער|ליידיקער|ריק (זכר)
ליידן|ליידען|לִסבול
ליידער|ליידער|לצערנו, לדאבוננו
לייוונט|לייוונט|פשתן, בד
לייווענט|לייווענט|בד
לייזט|לייזט|פדה
לייזן|לייזן|להתיר, לפתור
לייט|לייט|בריות, נכסים, לווה, שואל
לייטונג|לייטונג|ניהול
לייטן|לייטן|לנהל
לייטנדער|לייטנדער|מנהל, מַנחה
לייטער|לייטער|מַנְחֶה, סולם
לייטערונג|לייטערונג|? טיהור, זיקוק
לייכט|לייכט|קל, מאיר
לייכטזיניק|לייכטזיניג|פזיזים
לייכטזיניק|לייכטזיניק|קל דעת
לייכטן|לייכטן|להאיר
לייכטע|לייכטע|קל, בהיר (נקבה/רבים)
לייכטער|לייכטער|פמוטות
לייכטפערטיק|לייכטפֿערטיק|קל דעת
לייכטפערטיקייט|לייכטפֿערטיקייט|קלות דעת
לייכטקייט|לייכטקייט|קלות
ליימן|ליימען|חימר, טיט
ליין|לייען|להלוות
לייעןט|לייעןט|קורא (הוא)
לייעןסט|לייעןסט|קורא (אתה)
לייענט|לייענט|קורא
לייענן|לייענען|לקרוא
לייפציק|לייפציק|לייפציג (עיר בגרמניה)
לייק|לייג|הנח!
ליכט|ליכט|נר, אור
ליכטיגן|ליכטיגן|מאיר, בהיר
ליכטיגע|ליכטיגע|מאירים, בהירים
ליכטיגער|ליכטיגער|מואר, בהיר
ליכטיגקייט|ליכטיגקייט|בהירות, אור
ליכטיק|ליכטיק|בהיר
ליכטיקייט|ליכטיקייט|בהירות
ליכטיקן|ליכטיקן|מואר (מוטה)
ליכטיקע|ליכטיקע|מאירים
ליכטיקער|ליכטיקער|מואר (זכר)
ליכטלעך|ליכטלעך|נרות קטנים
ליכטן|ליכטן|להאיר
לינקס|לינקס|שמאלה
לינקע|לינקע|שמאלי
לינקעאנט|לינקע האַנט|יד שמאל
לינקער|לינקער|שמאלי
ליעב|ליעבּ|חיבּה, אהבה
ליפ|ליפּ|שפה
ליפן|ליפן|שפתיים
ליק|ליג|שוכב (אני)
לעב|לעב|חיה!
לעבט|לעבט|חי
לעבין|לעבין|(=לעבן) חיים; לחיות
לעבן|לעבן|ליד
לעבנסארט|לעבנסאַרט|אורח חיים
לעבנסגעשיכטע|לעבנסגעשיכטע|קורות חיים
לעבנסוועג|לעבנסוועג|דרך החיים
לעבנסמיטל|לעבנסמיטל|מזון
לעבנספרייד|לעבנספֿרייד|שמחת חיים
לעבנסציל|לעבנסציל|מטרת חיים
לעבנסקלוגקייט|לעבנסקלוגקייט|חוכמת חיים
לעבנסקראפט|לעבנסקראַפֿט|חיוניות
לעבסט|לעבסט|חי (אתה)
לעבעדיגער|לעבעדיגער|חי, מלא חיים
לעבעדיגקייט|לעבעדיגקייט|חיות
לעבעדיק|לעבעדיק|חי, מלא חיים
לעבעדיקייט|לעבעדיקייט|חיות, ערנות
לעבעדיקן|לעבעדיקן|חי, מלא חיות (בהטיה)
לעבעדיקע|לעבעדיקע|חיים, מלאי חיות
לעבעדיקער|לעבעדיקער|חיוני, מלא חיים
לעבענספראגע|לעבּענס-פראַגע|שאלת חיים, עניין קיומי
לעגיאנן|לעגיאָנען|לגיונות
לעגענדארישע|לעגענדאַרישע|אגדי
לעכעלעך|לעכעלעך|חורים קטנים
לענג|לענג|אורך
לענגסטן|לענגסטן|הכי ארוך
לענגסטער|לענגסטער|הכי-ארוך
לענגער|לענגער|ארוך-יותר
לענגערע|לענגערע|ארוך
לענגערער|לענגערער|ארוך-יותר
לענדער|לענדער|ארצות
לעפל|לעפל|כף
לעפעלע|לעפעלע|כפית
לעצטן|לעצטן|האחרון
לעצטנס|לעצטנס|לאחרונה
לעצטע|לעצטע|אחרונה, אחרונים
לעצטער|לעצטער|אחרון
לעקאח|לעקאח|(=לעקאך) עוגת דבש
לעקאך|לעקאַך|עוגת דבש
לערינט|לערינט|לומד, מלמד
לערן|לערן|למד!
לערןט|לערןט|לומד (הוא)
לערןסט|לערןסט|לומד (אתה)
לערנונג|לערנונג|לימוד
לערנט|לערנט|לומד
לערנן|לערנען|ללמוד, לימוד, ללמוד
לערנעןזיך|לערנען זיך|ללמוד
לערנענדיק|לערנענדיק|תוך כדי לימוד
לערנער|לערנער|לומד (אדם)
לערע|לעהרע|לימוד, למידה, תורה
לערע|לערע|תורה, לימוד
לערענט|לערענט|(=לערנט) לומד, מלמד
לערער|לערער|למדן
לערערין|לערערין|מורה (אישה)
לעשן|לעשן|לכבות
לשוןקודש|לשון קודש|לשון קדש
לשונות|לשונות|שפות
מאג|מאָג|מותר
מאגערע|מאַָגערע|דל, צנום, רזה כחוש
מאדנע|מאָדנע|מוזר
מאדנקייט|מאָדנקייט|מוזרות
מאדערן|מאָדערן|מודרני
מאדערנע|מאָדערנע|מודרנית
מאהל|מאהל|פעם (א מאהל = פעם אחת)
מאהלן|מאָהלן|לטחון
מאהנט|מאהנט|תובע, מזכיר (חוב)
מאהענט|מאָהענט|דורש
מאזינקער|מאזינקער|בן זקונים
מאטיוו|מאָטיוו|מניע
מאטיוויאציע|מאָטיוויאַציע|מוטיבציה
מאטיווירן|מאָטיווירן|להניע
מאטן|מאַטן|לעייף
מאטע|מאַטע|עייף
מאטעמאטיק|מאַטעמאַטיק|מטמטיקה
מאטעמאטיקער|מאַטעמאַטיקער|מתמטיקאי
מאטעמאטישער|מאַטעמאַטישער|מתמטי
מאטערט|מאטערט|מייגע, מענה
מאטעריאל|מאַטעריאַל|חומר, חומרים
מאטעריעליש|מאַטעריעליש|חומרי, גשמי
מאטערן|מאַטערן|ללחוץ, להציק
מאטקייט|מאַטקייט|עייפות
מאך|מאַך|עשה!
מאךט|מאַךט|עושה (הוא)
מאךסט|מאַךסט|עושה (אתה)
מאכט|מאַכט|עושה, עושים, שררה, שלטון, כוח, גבורה (שילטון)
מאכטלאז|מאַכטלאָז|רפיון ידיים
מאכין|מאכין|(=מאכן) לעשות
מאכן|מאַכן|לעשות
מאכנדיק|מאַכנדיק|עושה
מאכסטו|מאכסטו|אתה עושה
מאל|מאָל|פעם
מאלט|מאָלט|מצייר
מאלן|מאָלן|לציור
מאלן|מאָלען|לצייר
מאלער|מאָלער|צַיַיר
מאמע|מאַמע|אמא
מאמענט|מאָמענט|רגע, מיד
מאמענטאלן|מאָמענטאַלען|רגעיים, מיידיים
מאמענטן|מאָמענטען|רגעים, שניות, רגעים
מאמעס|מאמעס|של אמא; אמהות
מאן|מאַן|איש, בעל אדם
מאןט|מאָןט|תובע (הוא)
מאןסט|מאָןסט|תובע (אתה)
מאנגל|מאַנגל|חסרון
מאנגלן|מאַנגלן|לחסר
מאנגעלהאפט|מאַנגעלהאַפֿט|חסר
מאנט|מאָנט|חודש
מאנטאג|מאָנטאָג|יום שני
מאנטיק|מאָנטיק|יום שני
מאנטל|מאַנטל|מעיל
מאנכע|מאנכע|אחדים, כמה
מאנן|מאָנען|לתבוע, לדרוש
מאס|מאַָס|מידה
מאסן|מאָסן|מידות
מאסע|מאַסע|המון
מאסקווע|מאסקווע|מוסקבה
מאפע|מאפּע|מפה
מאראליש|מאָראַליש|מוסרי, מוסרית
מאראנץ|מאַראַנץ|תפוז
מארגן|מאָרגן|מחר, בוקר
מארגןפרי|מאָרגן פרי|מחר בבוקר
מארגנס|מאָרגנס|בבוקר
מארגנשטערן|מאָרגנשטערן|כוכב בוקר
מארטירער|מאַרטירער|קדוש, קדוש־מעונה
מארטירערטום|מאַרטירערטום|קידוש השם, מסירות נפש
מאריךזיין|מאריך זיין|להאריך
מאריענבאד|מאַריענבאַד|שם מקום
מארק|מאַרק|שוק
מארקע|מאַרקע|בול
מארש|מאַרש|צעדה, מצעד
מאשין|מאַשין|מכונה
מאשינן|מאַשינען|מכונות
מבזהזיין|מבזה זיין|לבזות
מגזםזיין|מגזם זיין|להגזים
מדארף|מ'דאַרף|צריך (באופן כללי)
מדה|מדה|מידה, תכונה
מדות|מדות|מידות
מדותטובות|מדות טובות|מידות טובות
מהאט|מ'האָט|יש (מישהו עשה)
מהדרזיין|מהדר זיין|להדר
מהערט|מהערט|שומעים (מ'הערט)
מודהגעוון|מודה געווען|הודה
מודהזיין|מודה זיין|להודות
מוועט|מ'וועט|(מען וועט) יעשו, יהיה
מוותרזיין|מוותר זיין|לוותר
מוז|מוז|מוכרח
מוזט|מוזט|מוכרח (אתה)
מוזיק|מוזיק|מוזיקה
מוזן|מוזן|מוכרחים
מוחלזיין|מוחל זיין|למחול
מוט|מוּט|מצב רוח טוב (מרץ)
מוט|מוט|אומץ
מוטיק|מוטיק|אמיץ
מוטיקייט|מוטיקייט|אומץ
מוטער|מוטער|אֵם, אמא
מויז|מויז|עכבר
מויל|מויל|פֶּה
מומע|מומע|דודה
מונדירן|מונדירן|מדים
מוסרהשכל|מוסר השכל|לקח מוסרי
