אַ ביסל|קצת|a little
ייִשן|לישון|to sleep
יישר כוח|יישר כוח, כל הכבוד|well done, thank you (yasher koach)
יסודותדיג|יסודי, מבוסס|fundamental, well-founded
יעדן|כל|every, each (inflected)
יעדן טאָג|כל יום|every day
יעדן מאָל|כל פעם|every time
יעדע|כל (נקבה)|every, each (f.)
יעדעס|כל-אחד|each one
יעדער|כל-אחד, כל|everyone, each
יעדערן|לכל אחד, את כל אחד|everyone (inflected)
יעדערער|כל אחד|everyone
יעווסעקציע|יבסקציה (המחלקה היהודית)|Yevsektsia (Jewish section of Soviet party)
יעטווידער|כל אחד, כל|each, every
יעמאָלט|אז|then
יעמאָלטיגיען|של-אז|of that time
יעמולט|אז, באותה שעה (=יעמאלט)|then, at that time
יעניקער|ההוא|that one
יענע|ההוא, ההיא|that
יענע וועלט|העולם הבא|the world to come
יענע זייט|הצד השני|the other side
יענע צייט|אותו זמן|that time
יענעם|לו, לה|that one (inflected)
יענעם טאָג|באותו יום|that day
יענעמס|ההוא|that one's
יענער|ההוא|that one
יענץ|ההוא (סתמי)|that (neuter)
יעצט|עכשיו, כעת|now
יקרקייט|יקרות|preciousness
ישובניק|יהודי כפרי, יהודי המתגורר ביישוב קטן|village Jew
ישרות|יושר|uprightness, integrity
כאטש|אף על פי ש־; לפחות|although; at least
כאַפּ|תופס (אני)|(I) catch
כאַפּט|תופס (הוא)|(he) catches
כאַפּן|לתפוס, לחטוף|to catch, to snatch
כאַפּסט|תופס (אתה)|(you) catch
כאַראַקטעריזירט|אִפיין|characterized
כּדי|כדי, על מנת|in order to
כוואליע|גל|wave
כוואליעס|גלים|waves
כוונה האָבן|להתכוון|to intend
כוחיים|כוחניים|forceful, powerful
כּוליע|כוליה, כליה|kidney
כּינוי|כינוי|nickname, epithet
כּיס|כיס|pocket
כּיסן|כיסים|pockets
כּישוף|כישוף, קסם|sorcery, magic
כּישופים|כישופים|sorceries
כּישרון|כישרון|talent
כּל זמן|כל זמן, כל עוד|as long as
כּלומרשט|כביכול, כלומר|supposedly, ostensibly
כּלי|כלי|vessel, tool
כּלים|כלים|vessels, tools
כּלל ניט|בכלל לא|not at all
כלליותדיג|כללי|general
כּמעט|כמעט|almost
כּסדר|ברצף, כסדר|constantly, in order
כּף|כף יד|palm of the hand
כּרסל|כורסא, כיסא נוח|armchair
לאַג|שקר!|lie!
לאַגט|שוקר|lies
לאַגן|לשקר|to lie
לאַגנהאַפֿט|שקרי|false, mendacious
לאַגנהאַפֿטיקייט|שקרנות|mendacity
לאַגע|מצב|situation
לאָז|אפשר, תן|let, allow
לאָזט|מניח|lets, allows
לאָזן|לאפשר, לתת|to let, to allow
לאַזען|לאפשר (להניח)|to let, to allow
לאטוויע|לטביה|Latvia
לאיבן|לשבח|to praise
לאַך|צחק!|laugh!
לאַךט|צוחק (הוא)|(he) laughs
לאַךסט|צוחק (אתה)|(you) laugh
לאַכט|צוחק|laughs
לאַכן|לצחוק|to laugh
לאַם|טלה|lamb
לאמיר|הבה, בואו|let us
לאָמפּ|מנורה|lamp
לאַנג|ארוך|long
לאַנג לעבן|אריכות ימים|long life
לאַנגווייל|שעמום|boredom
לאַנגווייליק|משעמם|boring
לאַנגזאַם|לאט|slow, slowly
לאַנגזאַמקייט|אטיות|slowness
לאָנגט|נותן|hands, gives
לאָנגן|לתת|to hand, to give
לאַנגע|ארוכים|long (pl.)
לאֲנגע|ארוך|long
לאַנגער|ארוך|long
לאַנגקייט|אורך|length
לאַנד|ארץ|land, country
לאַנדווירטשאַפט|חקלאות|agriculture
לאַנדסלויט|בני ארץ|compatriots, countrymen
לאַסטהאַפֿט|מכביד|burdensome
לאַסטן|נטל|burdens
לאָקשן|אטריות|noodles
לובלינער|מלובלין|of Lublin
לויב|שבח!|praise!
לויבּ|שבח|praise
לויבּ געזאַנגען|שירי שבח, תהילות|songs of praise
לויבט|משבח|praises
לויבן|לשבח|to praise
לויטעט|לפי|according to
לויכטן|להאיר, לזהור|to shine, to glow
לוין|שכר, גמול|wage, reward
לויף|רוץ!|run!
לויףט|רץ (הוא)|(he) runs
לויףסט|רץ (אתה)|(you) run
לויפט|רץ|runs
לויפען|לרוץ|to run
לויפענדיק|תוך כדי ריצה|while running
לומדישע|למדני|scholarly
לומדישער|למדני (זכר)|scholarly (m.)
לונגען|ריאות|lungs
לוסטיק|עליז, שמח|merry, cheerful
לוסטיקייט|עליזות|merriment
לוסטיקער|עליז, שמח|merry, cheerful
לוּפט|אַויר|air
לחלוחית|לחות, רטיבות|moisture, dampness
ליאזנא|ליאזנה (עיירה ברוסיה הלבנה)|Liozna (town in Belarus)
ליאזנער|מליאזנה|of Liozna
ליאַרעם|רעש, מהומה|noise, racket
ליאַרעמט|רועש|makes noise
ליב|אהוב|dear, beloved
ליב געהאַט|אהב|loved
ליב האָבן|לאהוב|to love
ליבט|אוהב|loves
ליבּליך|אהוב|lovely, dear
ליבן|לאהוב|to love
ליבע|אהבה|love
ליבּער|אהוב, יקר|dear, beloved
ליבקייט|חמדה|dearness, loveliness
ליבשאַפט|אהבה, חיבה|love, affection
ליג|שוכב (אני)|(I) lie down
ליגט|שוכב (הוא)|(he) lies
ליגט אויף|מוטל על, שוכב על|lies upon, rests on
ליגן|שקר, לשכב|lie (falsehood); to lie down
ליגן (בעט)|לשכב|to lie down
ליגנדיק|בשכבו|lying
ליגנער|שקרן|liar
ליגסט|שוכב (אתה)|(you) lie down
ליגענדיג|בְּשָכבי|lying
ליד|שיר|song, poem
לידער|שירים|songs, poems
ליובאוויטשער|מליובאוויטש, חסיד חב"ד|of Lubavitch, Chabad Chassid
ליטוואק|ליטאי|Litvak (Lithuanian Jew)
ליטוואַקס|לטאים|Litvaks
ליטווישן|ליטאי|Lithuanian (inflected)
ליטווישע|ליטאיים|Lithuanian (pl.)
לייאן|קרא!|read!
לייב|אריה|lion
לייבּליכע|גופניים, פיזיים|bodily, physical
לייג|הנח!|lay!, put!
לייגט|מניח|lays, puts
לייגן|להניח, לשים|to lay, to put
לייגן זיך|לשכב|to lie down
לייגנדיק|מניח|laying, putting
לייגסט|מניח (אתה)|(you) lay
לייגען|להניח עצמך, לשים, להטיל, להשכיב|to lay, to put
ליידט|סובל|suffers
ליידיגע|ריקים; בטלים|empty; idle (pl.)
ליידיק|ריק, פנוי|empty, idle
ליידיקם|ידיים ריקות|empty-handed
ליידיקן|ריק (מוטה)|empty (inflected)
ליידיקע|ריק (נקבה/רבים)|empty (f./pl.)
ליידיקער|ריק (זכר)|empty (m.)
ליידען|לִסבול|to suffer
ליידער|לצערנו, לדאבוננו|unfortunately
לייוונט|פשתן, בד|linen, canvas
לייווענט|בד|canvas, cloth
לייזט|פדה|redeems
לייזן|להתיר, לפתור|to solve, to release
לייט|בריות, נכסים, לווה, שואל|people; borrower
לייטונג|ניהול|management, leadership
לייטן|לנהל|to lead, to manage
לייטנדער|מנהל, מַנחה|leading, guiding
לייטער|מַנְחֶה, סולם|ladder; guide
לייטערונג|? טיהור, זיקוק|purification, refinement
לייכט|קל, מאיר|light, easy; shines
לייכטזיניג|פזיזים|frivolous, reckless
לייכטזיניק|קל דעת|frivolous, light-headed
לייכטן|להאיר|to shine, to illuminate
לייכטע|קל, בהיר (נקבה/רבים)|light, easy (f./pl.)
לייכטער|פמוטות|candlesticks
לייכטפֿערטיק|קל דעת|frivolous, reckless
לייכטפֿערטיקייט|קלות דעת|frivolity, recklessness
לייכטקייט|קלות|ease, lightness
ליימען|חימר, טיט|clay
לייען|להלוות|to lend
לייעןט|קורא (הוא)|(he) reads
לייעןסט|קורא (אתה)|(you) read
לייענט|קורא|reads
לייענען|לקרוא|to read
לייפציק|לייפציג (עיר בגרמניה)|Leipzig (city in Germany)
ליכט|נר, אור|candle, light
ליכטיגן|מאיר, בהיר|bright, luminous (inflected)
ליכטיגע|מאירים, בהירים|bright, luminous (pl.)
ליכטיגער|מואר, בהיר|bright, luminous
ליכטיגקייט|בהירות, אור|brightness, light
ליכטיק|בהיר|bright
ליכטיקייט|בהירות|brightness
ליכטיקן|מואר (מוטה)|bright (inflected)
ליכטיקע|מאירים|bright (pl.)
ליכטיקער|מואר (זכר)|bright (m.)
ליכטלעך|נרות קטנים|little candles
ליכטן|להאיר|to shine, to light
לינקס|שמאלה|to the left
לינקע|שמאלי|left
לינקע האַנט|יד שמאל|left hand
לינקער|שמאלי|left
ליעבּ|חיבּה, אהבה|love, affection
ליפּ|שפה|lip
ליפן|שפתיים|lips
לעב|חיה!|live!
לעבט|חי|lives
לעבין|(=לעבן) חיים; לחיות|life; to live
לעבן|ליד|near, beside; life
לעבנסאַרט|אורח חיים|way of life
לעבנסגעשיכטע|קורות חיים|life story, biography
לעבנסוועג|דרך החיים|life path
לעבנסמיטל|מזון|foodstuffs, provisions
לעבנספֿרייד|שמחת חיים|joy of life
לעבנסציל|מטרת חיים|life's goal
לעבנסקלוגקייט|חוכמת חיים|life wisdom
לעבנסקראַפֿט|חיוניות|life force, vitality
לעבסט|חי (אתה)|(you) live
לעבעדיגער|חי, מלא חיים|living, lively
לעבעדיגקייט|חיות|liveliness, vitality
לעבעדיק|חי, מלא חיים|living, lively
לעבעדיקייט|חיות, ערנות|liveliness, vitality
לעבעדיקן|חי, מלא חיות (בהטיה)|living (inflected)
לעבעדיקע|חיים, מלאי חיות|living, lively (pl.)
לעבעדיקער|חיוני, מלא חיים|living, lively
לעבּענס-פראַגע|שאלת חיים, עניין קיומי|question of life, existential matter
לעגיאָנען|לגיונות|legions
לעגענדאַרישע|אגדי|legendary
לעהרע|לימוד, למידה, תורה|teaching, doctrine
לעכעלעך|חורים קטנים|little holes
לעכער|חורים|holes
לענג|אורך|length
לענגסטן|הכי ארוך|longest (inflected)
לענגסטער|הכי-ארוך|longest
לענגער|ארוך-יותר|longer
לענגערע|ארוך|longer
לענגערער|ארוך-יותר|longer
לענדער|ארצות|countries
לעפל|כף|spoon
לעפעלע|כפית|teaspoon
לעצטן|האחרון|last (inflected)
לעצטנס|לאחרונה|lately, recently
לעצטע|אחרונה, אחרונים|last
לעצטער|אחרון|last
לעקאח|(=לעקאך) עוגת דבש|honey cake
לעקאַך|עוגת דבש|honey cake
לעקעך|עוגת דבש|honey cake
לערינט|לומד, מלמד|learns, teaches
לערן|למד!|learn!, teach!
לערןט|לומד (הוא)|(he) learns
לערןסט|לומד (אתה)|(you) learn
לערנונג|לימוד|study, teaching
לערנט|לומד|learns, studies
לערנען|ללמוד, לימוד, ללמוד|to study, to learn
לערנען זיך|ללמוד|to study, to learn
לערנענדיק|תוך כדי לימוד|while studying
לערנער|לומד (אדם)|student, learner
לערע|תורה, לימוד|teaching, doctrine
לערענט|(=לערנט) לומד, מלמד|learns, teaches
לערער|למדן|teacher
לערערין|מורה (אישה)|teacher (f.)
לעשן|לכבות|to extinguish
לשון קודש|לשון קדש|the holy tongue (Hebrew)
לשונות|שפות|languages
מאָג|מותר|is allowed, may
מאַָגערע|דל, צנום, רזה כחוש|thin, lean
מאָדנע|מוזר|strange, odd
מאָדנקייט|מוזרות|strangeness
מאָדערן|מודרני|modern
מאָדערנע|מודרנית|modern
מאהל|פעם (א מאהל = פעם אחת)|time (once)
מאָהלן|לטחון|to grind
מאהנט|תובע, מזכיר (חוב)|demands, reminds (of a debt)
מאָהענט|דורש|demands
מאזינקער|בן זקונים|youngest child
מאָטיוו|מניע|motive
מאָטיוויאַציע|מוטיבציה|motivation
מאָטיווירן|להניע|to motivate
מאַטן|לעייף|to tire
מאַטע|עייף|tired
מאַטעמאַטיק|מטמטיקה|mathematics
מאַטעמאַטיקער|מתמטיקאי|mathematician
מאַטעמאַטישער|מתמטי|mathematical
מאטערט|מייגע, מענה|torments, wearies
מאַטעריאַל|חומר, חומרים|material
מאַטעריעליש|חומרי, גשמי|material
מאַטערן|ללחוץ, להציק|to torment, to torture
מאַטערניש|ייסורים, עינוי|torment, agony
מאַטערנישען|ייסורים, עינויים|torments, agonies
מאַטקייט|עייפות|tiredness
מאַך|עשה!|do!, make!
מאַךט|עושה (הוא)|(he) does
מאַךסט|עושה (אתה)|(you) do
מאַכט|עושה, עושים, שררה, שלטון, כוח, גבורה (שילטון)|does; power, rule, might
מאַכטלאָז|רפיון ידיים|powerless
מאכין|(=מאכן) לעשות|to do, to make
מאַכן|לעשות|to do, to make
מאַכנדיק|עושה|doing, making
מאכסטו|אתה עושה|do you make
מאכער|עסקן|doer, operator
מאָל|פעם|time
מאָלט|מצייר|paints
מאָלן|לציור|to paint
מאָלען|לצייר|to paint
מאָלער|צַיַיר|painter
מאַמע|אמא|mother
מאַמען|אמא (מוטה)|mother (inflected)
מאָמענט|רגע, מיד|moment
מאָמענטאַלען|רגעיים, מיידיים|momentary, instant
מאָמענטען|רגעים, שניות, רגעים|moments
מאמעס|של אמא; אמהות|mother's; mothers
מאַן|איש, בעל אדם|man, husband
מאָןט|תובע (הוא)|(he) demands
מאָןסט|תובע (אתה)|(you) demand
מאַנגל|חסרון|lack, shortage
מאַנגלן|לחסר|to lack
מאַנגעלהאַפֿט|חסר|deficient, lacking
מאָנט|חודש|month
מאָנטאָג|יום שני|Monday
מאָנטיק|יום שני|Monday
מאַנטל|מעיל|coat
מאנכע|אחדים, כמה|some, several
מאַנסביל|גבר|man, male
מאַנסבילען|גברים, אנשים|men
מאָנען|לתבוע, לדרוש|to demand
מאַָס|מידה|measure
מאָסן|מידות|measures
מאַסע|המון|mass, crowd
מאסקווא|מוסקבה|Moscow
מאסקווע|מוסקבה|Moscow
מאפּע|מפה|map
מאָראַליש|מוסרי, מוסרית|moral
מאַראַנץ|תפוז|orange
מאָרגן|מחר, בוקר|tomorrow; morning
מאָרגן פרי|מחר בבוקר|tomorrow morning
מאָרגנס|בבוקר|in the morning
מאָרגנשטערן|כוכב בוקר|morning star
מאַרטירער|קדוש, קדוש־מעונה|martyr
מאַרטירערטום|קידוש השם, מסירות נפש|martyrdom
מאריך זיין|להאריך|to elaborate, to prolong
מאַריענבאַד|שם מקום|Marienbad (place name)
מאַרק|שוק|market
מאַרקע|בול|stamp
מאַרש|צעדה, מצעד|march
מאַשין|מכונה|machine
מאַשינען|מכונות|machines
מבזה זיין|לבזות|to disparage, to shame
מגזם זיין|להגזים|to exaggerate
מ'דאַרף|צריך (באופן כללי)|one must, one needs
מדה|מידה, תכונה|trait, quality
מדות|מידות|traits, character qualities
מדות טובות|מידות טובות|good character traits
מ'האָט|יש (מישהו עשה)|one has
מהדר זיין|להדר|to beautify (a mitzvah)
מהערט|שומעים (מ'הערט)|one hears
מודה געווען|הודה|admitted, acknowledged
מודה זיין|להודות|to admit, to acknowledge
מ'וועט|(מען וועט) יעשו, יהיה|one will
מוותר זיין|לוותר|to forgo, to concede
מוז|מוכרח|must
מוזט|מוכרח (אתה)|(you) must
מוזיק|מוזיקה|music
מוזן|מוכרחים|must
מוחל זיין|למחול|to forgive
מוּט|מצב רוח טוב (מרץ)|spirit, mood
מוט|אומץ|courage
מוטיק|אמיץ|courageous
מוטיקייט|אומץ|courage
מוטער|אֵם, אמא|mother
מויז|עכבר|mouse
מויל|פֶּה|mouth
מומע|דודה|aunt
מונדירן|מדים|uniforms
מוסטער|דוגמה, דגם|model, pattern
מוסר השכל|לקח מוסרי|moral lesson
מורא האָבן|לפחד|to be afraid
מוראדיק|נורא, עצום|terrible, tremendous
מוראַשקע|נמלה|ant
מזאגט|אומרים (מ'זאגט)|one says
מ'זאָל|שיהיה, שצריך|one should
מזיק זיין|להזיק|to harm
מחבר זיין|לחבר|to compose, to author
מחזק זיין|לחזק|to strengthen
מחלל־שבת זיין|לחלל שבת|to desecrate the Sabbath
מיאוס|מגעיל|repulsive, ugly
מיאוסקייט|כיעור|ugliness
מיד|עייף|tired
מיד ווערן|להתעייף|to become tired
מידארף|(מ'דארף) צריך, יש צורך|one must, one needs
מידיק|בינוני|middling
מידקייט|עייפות|tiredness
מיהע|מאמץ, טרחה|effort, trouble
מיט|עם|with
מיטאָג|צהריים|noon, lunch
מיטאָגצייט|שעת צהריים|noon time
מיטאמאָל|בבת אחת|all at once
מיטאַמאָל|פתאום, בבת אחת|suddenly, all at once
מיטברענגען|להביא עם עצמו|to bring along
מיטגליד|חבר (באִרגון או אגודה)|member
מיטגלידער|חברים (באגודה או ארגון)|members
מיטגעבראכט|הביא עמו|brought along
מיטגעגאַנגען|הלכתי ביחד|went along
מיטגעהאלפען|סייע|helped along, assisted
מיטגעזוּנגען|לשיר-יחד|sang along
מיטגענומען|לקח עמו|took along
מיטגעצוייגען|סחף -עִמו, נִסחף|swept along
מיטהעלפען|לעזור, לסייע|to help, to assist
מיטהעלפער|עוזר, מסייע|helper, assistant
מיטוואָך|יום רביעי (בשבת)|Wednesday
מיטל|אמצעי|means
מיטלייד|חמלה, רחמים, רחמנות, השתתפות בצער|compassion, pity
מיטלמעסיק|בינוני|mediocre, average
מיטלמעסיקייט|בינוניות|mediocrity
מיטלען|אמצעים, דרכים|means, methods
מיטלפּונקט|מרכז|center, focal point
מיטן|אמצע|middle
מיטנעמען|לקחת עמו, לצרף|to take along
מיטעלן|אמצעי|means
מיטעלער|אמצעי (דער מיטעלער רבי – אדמו"ר האמצעי)|middle (the Mitteler Rebbe)
מיטפאָהרען|לסוע-יחד|to travel along
מיטפארען|לנסוע יחד|to travel along
מיידל|ילדה, נערה|girl
מיידלעך|ילדות, נערות|girls
מייז|עכברים|mice
מיין|שלי|my
מייןט|מתכוון, סבור (הוא)|(he) means, thinks
מייןסט|מתכוון, סבור (אתה)|(you) mean, think
מיינוּנג|דיעה (שיטה)|opinion, view
מיינט|מתכוון, סבור|means, thinks
מיינסטו|אתה מתכוון|do you mean
מיינע|שלי (רבים)|my (pl.)
מיינען|להתכוון, לסבור|to mean, to think
מיינענדיק|בחושבו, בסוברו|meaning, thinking
מיינער|שלי (זכר)|mine (m.)
מיך|אותי|me
מיל|טחנה|mill
מיליאן|מיליון|million
מיליאנען|מיליונים|millions
מיליטער|צבא|military, army
מילך|חלב|milk
מילנער|טוחן|miller
מינדערהייט|מיעוט|minority
מינוט|דקה|minute
מינוטן|דקות|minutes
מיניסטער|שׂר|minister
מינסקער|ממינסק|of Minsk
מינע|הבעת פנים, פרצוף|expression, mien
מיסטעריע|תעלומה|mystery
מיסיאנערען|מיסיונרים|missionaries
מיר|אנחנו, לי|we; to me
מירוב|רוב|majority
מישונג|תערובת|mixture
מישמאַש|עירבוביה|jumble, hodgepodge
מישן|לערבב|to mix
מישן (זיך)|מִתערב|interferes, meddles
מכבד זיין|לכבד|to honor
מלחמה האַלטן|לנהל מלחמה|to wage war
מלערנט|לומדים (מ'לערנט)|one studies
ממשיך זיין|להמשיך|to continue
מנעמט|לוקחים (מ'נעמט)|one takes
מנצח זיין|לנצח|to prevail, to conquer
מסביר זיין|להסביר|to explain
מסכים געווען|הסכים|agreed
מסכים זיין|להסכים|to agree
מעג|מותר|is allowed, may
מעגליכקייט|אפשרות|possibility
מעגלעך|אפשר, יתכן, יתכן, אפשר|possible
מעגלעכקייט|אפשרות, הזדמנות, אפשרות, יכולת, אפשרות|possibility
מעגלעכקייטן|אפשרויות|possibilities
מעגן|לרצות, מותר|to be allowed, may
מעגסט|רשאי (אתה)|(you) may
מעד|תֶמֶד|mead
מעדיצין|תרופה, רפואה|medicine
מעהערע|מרובים|several, many
מעזריטשער|ממעזריטש, של מעזריטש|of Mezritch
מעטאדעס|שיטות|methods
מעטאַלען|מתכות|metals
מעכטיקן|חזק, אדיר|mighty, powerful
מעל|קמח|flour
מעמבער|חבר (בארגון)|member
מען|מישהו, אנשים (סתמי)|one, people (impersonal)
מענטעלע|מעילון (מעיל קטן)|little coat
מענטש|אדם, בן אדם|person, human being
מענטשהייט|אנושות|humanity
מענטשין|(=מענטשן) אנשים, בני אדם|people
מענטשליכער|אנושי|human
מענטשלעך|אנושי|human, humane
מענטשלעכן|אנושי|human (inflected)
מענטשלעכקייט|אנושיות|humaneness
מענטשן|בני אדם|people
מענטשן-ליבע|אהבת האדם|love of mankind
מענטשעלעך|אנשים קטנים|little people
מענטשען|אנשים|people
מענער|גברים|men
מענש|אדם (=מענטש)|person, human being
מענשהייט|אנושות|humanity
מענשליכער|אנושי|human
מענשען|אנשים|people
מעסטן|מודדים|to measure
מעסער|סכין|knife
מעקלער|מתווך|broker, middleman
מער|יותר|more
מערהייט|רוב|majority
מערן (גרינס)|גזר|carrot
מערניט|לא יותר, רק|no more than, only
מערסטע|רוב|most
מערער|יותר|more
מערערע|כמה, מספר של|several, a number of
מערקווירדיקע|מעורר עניין|remarkable, noteworthy
מערקען|להבחין, לשים לב|to notice, to perceive
מעש|פליז|brass
מעשה'לה|סיפּוּרון|little story
מפיץ זיין|להפיץ|to disseminate
מפלעגט|נהגו, היו רגילים (מ'פלעגט)|one used to
מצוה|מצווה|mitzvah, commandment
מצוה טוב|מצווה טובה|a good deed
מצליח זיין|להצליח|to succeed
מקובלדיק|כדרך המקובלים|as the Kabbalists do
מקיים זיין|לקיים|to fulfill
מקנא זיין|לקנא|to envy
משבח זיין|לשבח|to praise
משיג זיין|להשיג, להבין|to grasp, to comprehend
משלח זיין|לשלוח|to send
משפּחה־לעבן|חיי משפחה|family life
משפּיע זיין|להשפיע|to influence
מתינותדיק|מתון|moderate, measured
מתנגדישער|של המתנגדים|of the Misnagdim
מתנה געבן|לתת מתנה|to give a gift
מתקן זיין|לתקן|to rectify, to repair
נאָגל|ציפורן|nail (finger)
נאָדל|מחט|needle
נאהענט|קרוב|near, close
נאָהענטע|קרובים, סמוכים|near, close (pl.)
נאָהענטער|קרוב|near, close
נאהר|רק (נאר)|only
נאָז|אף|nose
נאָטווענדיק|הכרחי|necessary
נאָטווענדיקייט|הכרח|necessity
נאַטוּר|טבע|nature
נאַטור־וויסטשאַפט|חכמת הטבע|natural science
נאַטירליכען|טִבעי|natural (inflected)
נאַטירליכער|טבעי|natural
נאַטירלעך|טבעי|natural, naturally
נאָך|עוד, גם|still, more; after
נאָך - מיטאַג|אחר הצהריים|afternoon
נאָך דעם|אחרי זה|after that
נאָך מאָל|עוד פעם|once more
נאָך ניט|עדיין לא|not yet
נאָכאַמאָל|עוד פעם|once again
נאָכגיין|ללכת אחרי|to follow
נאָכגעבן|לוותר|to give in, to yield
נאָכגעגעבן|ויתר|gave in, yielded
נאַָכגעגעבן געוואָרן|? ניתן|was given in to
נאָכגעפאָלגט|עקב, מילא אחר|followed, complied
נאָכגעפרעגט|שאל-שוב|inquired again
נאָכגעקוקט|להסתכל שוב|looked after, checked
נאָכדעם|לאחר מכן|afterwards
נאָכהאַר|לאחר מכן|afterwards
נאכהער|אחר כך|afterwards
נאַכט|לילה|night
נאַכטלעך|של לילה|nightly, of night
נאַכטמאָל|ארוחת לילה|supper
נאַכטן|לילות|nights
נאָכלויפן|לרדוף אחרי|to run after
נאָכמיטאָג|אחר הצהריים|afternoon
נאכמער|עוד יותר|even more
נאָכן|לאחר|after the
נאָכער|אחר כך|afterwards
נאָכפֿאָלגן|לעקוב|to follow
נאכפאָלגער|ממשיך דרך|successor, follower
נאָכפאָלגערשאַפט|מורשת|succession, legacy
נאָכקומען|לעקוב, לבוא אחרי|to follow, to come after
נאָמנהאַפֿט|ידוע|renowned, notable
נאָמען|שֵם|name
נאָמענס|שמות|names
נאַס|רטוב|wet
נאַסן|רטוב (מוטה)|wet (inflected)
נאַסע|רטוב (נקבה/רבים)|wet (f./pl.)
נאַסער|רטוב (זכר)|wet (m.)
נאָענט|קרוב|near, close
נאָענטן|להתקרב|to draw near
נאָענטסטא|קרובים ביותר|nearest, closest
נאָענטע|קרוב (נקבה/רבים)|near (f./pl.)
נאָענטער|קרוב (זכר)|nearer, closer
נאָענטקייט|קרבה|closeness
נאַפאָליאָנישע|של נפוליאון|Napoleonic
נאַפּלעאָן'ס|של נפוליאון|Napoleon's
נאקעט|עירום|naked
נאַר|שוטה, טיפש|fool
נאָר|רק, אלא|only, but
נאָר וואָס|זה עתה|just now
נאַראָנים|טיפשים|fools
נאַרט-זיך|מרמה עצמו, טועה|deceives oneself
נאַרישן|טיפשי (מוטה)|foolish (inflected)
נאַרישע|טיפשי (נקבה/רבים)|foolish (f./pl.)
נאַרישער|טיפשי (זכר)|foolish (m.)
נאַרישקייט|שטות|foolishness
נארישקייטן|שטויות|nonsense, follies
נאַרען|שוטים, פתאים|fools
נארעריי|שטות, אחיזת עיניים|foolery, deception
נו|נו, ובכן|well, so
נויט|מצוקה, דחק, צורך|need, distress
נויטיג|נחוץ|necessary
נוּיטיגט זיך|להִזדקק, להִצתרך|to need, to require
נויטיגער|הנחוץ, הדרוש|necessary
נויטיגקייט|נחיצות|necessity
נומער|מספר|number
נוץ|נצל!|use!
נוצט|מנצל|uses
נוצלעך|שימושי|useful
נוצלעכקייט|שימושיות|usefulness
נוצן|לנצל, תועלת|to use; benefit
נוּצען|תועלת, שימוש|use, benefit
נוקם זיין|לנקום|to take revenge
נוּקען|לומר 'נוּ'|to prod, to nudge
נידער|למטה; ירידה|down; descent
נידעריגסטע|הנמוכים ביותר|lowest
נידעריגער|נמוך|low, lower
נידעריגקייט|שפלות, נמיכות|lowliness, baseness
נידעריק|נמוך|low
נידעריקסטער|הנמוך ביותר|lowest
נידעריקער|נמוך־יותר|lower
נידערלאַגע|תבוסה|defeat
ניט|לא|not
ניטאָ|אין, לא נמצא|there is not, absent
ניי|חדש|new
נייגונגען|שאיפות|inclinations, tendencies
נייגעריג|סקרן, מסוקרן|curious
נייגעריק|סקרן|curious
נייגעריקער|סקרני|curious
נייטיגט זיך|לא צריך|needs; does not need
נייטיק|נצרך|necessary
ניין|לא|no
ניין (צאָל)|תשע|nine
ניינציק|תשעים|ninety
ניינצן|תשע עשרה|nineteen
נייס|חדשות|news
נייעם|חדש|new (inflected)
נייעסן|חדשות|news
נייער|חדש (זכר)|new (m.)
נייקייט|חידוש|novelty
ניסים|נסים|miracles
ניסלעך|אגוזים|nuts
ניסן (הוסטן)|להתעטש|to sneeze
ניצול געוואָרן|ניצל|was saved
ניצט אויס|מנצל, משתמש|makes use of
ניצליכע|שימושיים, מועילים|useful (pl.)
נישט|לא|not
נעבן|ליד, על יד|next to, beside
נעבּעך|מִסכֵּן, עלוב-נפש, למרבה הצער|poor thing; alas
נעבּען|אצל, על-יד|next to, beside
נעגל|ציפורניים; מסמרים|nails
נעגעל|ציפורניים; מסמרים|nails
נעהענטער|קרוב יותר, יותר סמוך|nearer, closer
נעוועל|נבל (עיירה ברוסיה)|Nevel (town in Russia)
נעטיק|נחוץ|necessary
נעכט|לילות|nights
נעכטיגען|ללון|to spend the night
נעכטן|אתמול|yesterday
נעם|קח|take!
נעםט|לוקח (הוא)|(he) takes
נעםסט|לוקח (אתה)|(you) take
נעמט|לוקח|takes
נעמען|לקחת|to take
נעמענדיק|בקחתו, תוך לקיחה|taking
נענטער|קרוב יותר|nearer, closer
נעסט|קן|nest
נעענטער|קרוב יותר|nearer, closer
נעפּל|ערפל|fog, mist
נפש-ערשיינונגס-שטרייכען|תופעות נפשיות|psychic phenomena
נפש-פערגעניגען|הנאת הנפש|pleasure of the soul
נשמה כלליות|נשמה כללית|general soul
סאוועט|מועצה (סובייט)|soviet (council)
ס'איז|זה, הרי זה|it is
סאַך|הרבה (אַ סך)|a lot, much
סאלדאט|חייל|soldier
סאַלקע|עליית גג|attic
סאַמע|שיא, פיסגה|very (utmost), peak
סאָרט|סוג|sort, kind
סדר הלילה|סדר ליל הפסח|the Seder (Passover night)
סוּמע|סכום|sum, amount
סזאל|שיהיה (ס'זאל)|let it be
סטאָליער|נגר|carpenter
סטאַנציע|תחנה|station
סטאנציעס|תחנות; אכסניות|stations; inns
סטאַרען (זיך)|להִתאמץ, להִתייגע|to strive, to make an effort
